id,Design Type,End X,End Y,End Z,Start X,Start Y,Start Z
103,HSS8X0.125,15,25.980762,0,0,23.382686,12
104,HSS8X0.125,-15,25.980762,0,-20.25,11.691343,12
112,HSS8X0.125,15,-25.980762,0,20.25,-11.691343,12
113,HSS8X0.125,30,0,0,20.25,11.691343,12
114,HSS8X0.125,15,-25.980762,0,13.5,-23.382686,12
116,HSS8X0.125,-30,0,0,-20.25,-11.691343,12
120,HSS8X0.125,-15,-25.980762,0,0,-23.382686,12
147,HSS8X0.125,-30,0,0,-15,25.980762,0
148,HSS8X0.125,-15,-25.980762,0,-30,0,0
164,HSS8X0.125,-15,25.980762,0,-13.5,23.382686,12
167,HSS8X0.125,-15,-25.980762,0,-13.5,-23.382686,12
170,HSS8X0.125,-30,0,0,-27,0,12
172,HSS8X0.125,-15,25.980762,0,15,25.980762,0
174,HSS8X0.125,15,25.980762,0,30,0,0
175,HSS8X0.125,15,-25.980762,0,-15,-25.980762,0
176,HSS8X0.125,30,0,0,15,-25.980762,0
178,HSS8X0.125,15,25.980762,0,13.5,23.382686,12
181,HSS8X0.125,30,0,0,27,0,12
105,HSS6X0.125,0,23.382686,12,-15,25.980762,0
107,HSS6X0.125,0,-23.382686,12,10.5,-18.186533,21
108,HSS6X0.125,20.25,-11.691343,12,21,0,21
109,HSS6X0.125,20.25,11.691343,12,10.5,18.186533,21
111,HSS6X0.125,20.25,-11.691343,12,30,0,0
115,HSS6X0.125,20.25,11.691343,12,15,25.980762,0
117,HSS6X0.125,-20.25,11.691343,12,-30,0,0
118,HSS6X0.125,-20.25,-11.691343,12,-15,-25.980762,0
119,HSS6X0.125,0,-23.382686,12,15,-25.980762,0
131,HSS6X0.125,-20.25,11.691343,12,-21,0,21
135,HSS6X0.125,-20.25,-11.691343,12,-10.5,-18.186533,21
141,HSS6X0.125,13.5,-23.382686,12,10.5,-18.186533,21
142,HSS6X0.125,27,0,12,13.5,-23.382686,12
143,HSS6X0.125,13.5,23.382686,12,27,0,12
144,HSS6X0.125,13.5,-23.382686,12,-13.5,-23.382686,12
149,HSS6X0.125,-13.5,-23.382686,12,-27,0,12
150,HSS6X0.125,-13.5,23.382686,12,13.5,23.382686,12
151,HSS6X0.125,-27,0,12,-13.5,23.382686,12
163,HSS6X0.125,-27,0,12,-21,0,21
166,HSS6X0.125,-13.5,23.382686,12,-10.5,18.186533,21
169,HSS6X0.125,-13.5,-23.382686,12,-10.5,-18.186533,21
177,HSS6X0.125,13.5,23.382686,12,10.5,18.186533,21
180,HSS6X0.125,27,0,12,21,0,21
101,HSS4X0.220,-10.5,18.186533,21,0,23.382686,12
102,HSS4X0.220,10.5,18.186533,21,0,23.382686,12
106,HSS4X0.220,10.5,-18.186533,21,20.25,-11.691343,12
110,HSS4X0.220,21,0,21,20.25,11.691343,12
122,HSS4X0.220,-10.5,-18.186533,21,0,-10.392305,27
123,HSS4X0.220,10.5,-18.186533,21,9,-5.196152,27
124,HSS4X0.220,21,0,21,9,5.196152,27
130,HSS4X0.220,-21,0,21,-9,-5.196152,27
132,HSS4X0.220,-10.5,18.186533,21,-20.25,11.691343,12
133,HSS4X0.220,-21,0,21,-20.25,-11.691343,12
134,HSS4X0.220,-10.5,-18.186533,21,0,-23.382686,12
136,HSS4X0.220,10.5,18.186533,21,0,10.392305,27
140,HSS4X0.220,-10.5,18.186533,21,-9,5.196152,27
145,HSS4X0.220,-10.5,-18.186533,21,-21,0,21
146,HSS4X0.220,10.5,-18.186533,21,-10.5,-18.186533,21
157,HSS4X0.220,-10.5,18.186533,21,10.5,18.186533,21
158,HSS4X0.220,-21,0,21,-10.5,18.186533,21
159,HSS4X0.220,10.5,18.186533,21,21,0,21
161,HSS4X0.220,21,0,21,10.5,-18.186533,21
162,HSS4X0.220,-21,0,21,-12,0,27
165,HSS4X0.220,-10.5,18.186533,21,-6,10.392305,27
168,HSS4X0.220,10.5,-18.186533,21,6,-10.392305,27
171,HSS4X0.220,-10.5,-18.186533,21,-6,-10.392305,27
173,HSS4X0.220,21,0,21,12,0,27
179,HSS4X0.220,10.5,18.186533,21,6,10.392305,27
121,HSS4X0.220,0,-10.392305,27,10.5,-18.186533,21
125,HSS4X0.220,9,-5.196152,27,21,0,21
126,HSS4X0.220,6,-10.392305,27,-12,0,27
127,HSS4X0.220,3,5.196152,27,-3,-5.196152,27
128,HSS4X0.220,12,0,27,-6,10.392305,27
129,HSS4X0.220,-9,-5.196152,27,-10.5,-18.186533,21
137,HSS4X0.220,9,5.196152,27,10.5,18.186533,21
138,HSS4X0.220,0,10.392305,27,-10.5,18.186533,21
139,HSS4X0.220,-9,5.196152,27,-21,0,21
152,HSS4X0.220,-12,0,27,-6,10.392305,27
153,HSS4X0.220,-6,-10.392305,27,-12,0,27
154,HSS4X0.220,-6,10.392305,27,6,10.392305,27
155,HSS4X0.220,12,0,27,6,-10.392305,27
156,HSS4X0.220,6,10.392305,27,12,0,27
160,HSS4X0.220,6,-10.392305,27,-6,-10.392305,27
